Filename:	C:\Program Files (x86)\PerkinElmer\Pyris\data\Daniele\231128_RBX_RSO\231128_lard_A.ds8d

Temperature (°C)	Heat Flow Endo Up (mW)
90.76	-6.5630
90.76	-6.5632
90.76	-6.5632
90.76	-6.5633
90.75	-6.5634
90.76	-6.5634
90.76	-6.5634
90.76	-6.5634
90.76	-6.5636
90.76	-6.5637
90.76	-6.5636
90.76	-6.5638
90.76	-6.5639
90.76	-6.5640
90.76	-6.5640
90.76	-6.5638
90.76	-6.5638
90.75	-6.5638
90.75	-6.5637
90.76	-6.5638
90.76	-6.5637
90.76	-6.5637
90.76	-6.5637
90.76	-6.5637
90.76	-6.5637
90.76	-6.5638
90.76	-6.5638
90.76	-6.5639
90.76	-6.5640
90.76	-6.5640
90.75	-6.5641
90.76	-6.5639
90.76	-6.5640
90.76	-6.5642
90.76	-6.5642
90.76	-6.5643
90.76	-6.5643
90.76	-6.5643
90.76	-6.5645
90.76	-6.5645
90.76	-6.5646
90.76	-6.5648
90.76	-6.5648
90.76	-6.5648
90.76	-6.5647
90.76	-6.5647
90.76	-6.5647
90.76	-6.5647
90.76	-6.5647
90.76	-6.5646
90.76	-6.5645
90.76	-6.5646
90.76	-6.5647
90.76	-6.5646
90.76	-6.5646
90.76	-6.5646
90.76	-6.5645
90.76	-6.5644
90.75	-6.5644
90.76	-6.5645
90.76	-6.5645
90.76	-6.5644
90.76	-6.5645
90.77	-6.5645
90.76	-6.5647
90.76	-6.5646
90.76	-6.5646
90.76	-6.5646
90.76	-6.5646
90.76	-6.5646
90.76	-6.5645
90.76	-6.5644
90.76	-6.5645
90.76	-6.5644
90.76	-6.5644
90.76	-6.5643
90.76	-6.5644
90.76	-6.5643
90.76	-6.5644
90.76	-6.5644
90.76	-6.5644
90.76	-6.5644
90.76	-6.5644
90.76	-6.5645
90.76	-6.5647
90.77	-6.5646
90.76	-6.5648
90.76	-6.5647
90.76	-6.5648
90.76	-6.5647
90.76	-6.5648
90.76	-6.5648
90.76	-6.5648
90.76	-6.5648
90.76	-6.5648
90.76	-6.5648
90.76	-6.5648
90.76	-6.5649
90.76	-6.5648
90.76	-6.5649
90.76	-6.5648
90.76	-6.5647
90.76	-6.5646
90.76	-6.5646
90.76	-6.5645
90.76	-6.5644
90.76	-6.5644
90.76	-6.5645
90.76	-6.5645
90.76	-6.5646
90.76	-6.5645
90.76	-6.5646
90.76	-6.5646
90.76	-6.5646
90.76	-6.5646
90.76	-6.5644
90.76	-6.5643
90.76	-6.5642
90.76	-6.5643
90.76	-6.5644
90.76	-6.5642
90.76	-6.5641
90.76	-6.5642
90.76	-6.5643
90.76	-6.5643
90.76	-6.5642
90.76	-6.5644
90.76	-6.5646
90.76	-6.5645
90.76	-6.5646
90.76	-6.5646
90.76	-6.5646
90.76	-6.5647
90.76	-6.5648
90.76	-6.5648
90.76	-6.5647
90.76	-6.5647
90.76	-6.5646
90.76	-6.5646
90.76	-6.5645
90.76	-6.5646
90.76	-6.5645
90.76	-6.5646
90.76	-6.5646
90.76	-6.5646
90.76	-6.5646
90.76	-6.5644
90.76	-6.5646
90.76	-6.5645
90.76	-6.5645
90.76	-6.5645
90.76	-6.5648
90.76	-6.5647
90.76	-6.5646
90.76	-6.5646
90.76	-6.5647
90.76	-6.5646
90.76	-6.5645
